transaction_id,donor_id,committee_id,candidate_name,amount,date
A12C48C1AE9144D56B13,D6343013132,C00794370,"Clark, Joshua Stephen",5800.0,2022-05-26
AAC51863269824153B52,D6343013132,C00794370,"Clark, Joshua Stephen",2900.0,2022-05-26
AC3DBC6278DE04ACF85D,D7591212560,C00794370,"Clark, Joshua Stephen",500.0,2022-05-25
AB4C9B83C63944090877,D2909602839,C00794370,"Clark, Joshua Stephen",500.0,2022-05-25
A6296110C201449539E3,D7591212560,C00794370,"Clark, Joshua Stephen",250.0,2022-05-24
AE750BB71034B42078C3,D5658691355,C00794370,"Clark, Joshua Stephen",250.0,2022-05-24
A8D11A384B5E94BAD955,D7591212560,C00794370,"Clark, Joshua Stephen",250.0,2022-05-24
ACBC60CCB078341B7AC5,D6015935778,C00794370,"Clark, Joshua Stephen",250.0,2022-05-24
A6C752B7A2EBA4EBAA5E,D7591212560,C00794370,"Clark, Joshua Stephen",2900.0,2022-05-24
A38C7233F9999403BBF5,D7635308732,C00794370,"Clark, Joshua Stephen",2900.0,2022-05-24
A1F685505B3904859B16,D7591212560,C00794370,"Clark, Joshua Stephen",500.0,2022-05-23
A0FFB3853698D4846A7B,D6412240480,C00794370,"Clark, Joshua Stephen",500.0,2022-05-23
AD79BF7540E5A4A77B88,D7591212560,C00794370,"Clark, Joshua Stephen",250.0,2022-05-23
A26F5A12B0D1548FEBEA,D5846277339,C00794370,"Clark, Joshua Stephen",250.0,2022-05-23
A682796EFB80D4E8DA8D,D7591212560,C00794370,"Clark, Joshua Stephen",500.0,2022-05-22
A46246613B17345E587D,D4171219855,C00794370,"Clark, Joshua Stephen",500.0,2022-05-22
AC26373E6A6314DAABDB,D7591212560,C00794370,"Clark, Joshua Stephen",500.0,2022-05-22
A63A6CA48716D43BEAFF,D4122060335,C00794370,"Clark, Joshua Stephen",500.0,2022-05-22
A63C1B13CF20E4C0AB34,D7591212560,C00794370,"Clark, Joshua Stephen",250.0,2022-05-22
A0A57F41D49B24FBDABE,D5615455427,C00794370,"Clark, Joshua Stephen",250.0,2022-05-22
A1AE5AA8F24094568BEC,D7591212560,C00794370,"Clark, Joshua Stephen",500.0,2022-05-21
A4905DDB946704A35A72,D5004769545,C00794370,"Clark, Joshua Stephen",500.0,2022-05-21
A3545DC49360C4BCD9BB,D7591212560,C00794370,"Clark, Joshua Stephen",500.0,2022-05-21
A4E88CBF9E6B643DDA5F,D4978280605,C00794370,"Clark, Joshua Stephen",500.0,2022-05-21
A3A86549E463D4457BA7,D7591212560,C00794370,"Clark, Joshua Stephen",1000.0,2022-05-19
A3F94FFF02AF445FC835,D2314068336,C00794370,"Clark, Joshua Stephen",1000.0,2022-05-19
ACF53557FA6A04331B73,D7591212560,C00794370,"Clark, Joshua Stephen",500.0,2022-05-19
A30913C134060411F973,D6299537366,C00794370,"Clark, Joshua Stephen",500.0,2022-05-19
A10C5F5D277C34018AFC,D7591212560,C00794370,"Clark, Joshua Stephen",500.0,2022-05-17
A8BD6F11AA7F24AADB8B,D2357988821,C00794370,"Clark, Joshua Stephen",500.0,2022-05-17
A62CC8F8476A34E40B52,D7591212560,C00794370,"Clark, Joshua Stephen",1000.0,2022-05-17
A68313C7BC83E4AEAA47,D7031306583,C00794370,"Clark, Joshua Stephen",1000.0,2022-05-17
A74261AB2BF5047D1B1E,D7591212560,C00794370,"Clark, Joshua Stephen",300.0,2022-05-17
A0E94566040D24747A36,D3305933952,C00794370,"Clark, Joshua Stephen",300.0,2022-05-17
AE2DD00F1C23F4B089E4,D7591212560,C00794370,"Clark, Joshua Stephen",200.0,2022-05-16
A04FCD73123F9415CA3F,D5902326925,C00794370,"Clark, Joshua Stephen",200.0,2022-05-16
AA85833D041EB4AE2B26,D7591212560,C00794370,"Clark, Joshua Stephen",250.0,2022-05-15
A1EAAF4A3C2D84E77816,D2376987804,C00794370,"Clark, Joshua Stephen",250.0,2022-05-15
A1579D28BECEC47C291A,D7591212560,C00794370,"Clark, Joshua Stephen",300.0,2022-05-15
A072196532011476BAB8,D5902326925,C00794370,"Clark, Joshua Stephen",300.0,2022-05-15
AC382C40A136644E39B0,D7591212560,C00794370,"Clark, Joshua Stephen",1000.0,2022-05-14
ADEFC1677635443F9BBD,D8983325173,C00794370,"Clark, Joshua Stephen",1000.0,2022-05-14
AAC426A8AAC8E4A3386F,D7591212560,C00794370,"Clark, Joshua Stephen",250.0,2022-05-14
AA94338A32CEF42668A3,D6093430577,C00794370,"Clark, Joshua Stephen",250.0,2022-05-14
A3FBB729F70494EE8BA6,D7591212560,C00794370,"Clark, Joshua Stephen",200.0,2022-05-13
AE504BEAF25204B9797E,D8140522078,C00794370,"Clark, Joshua Stephen",200.0,2022-05-13
A1CE1E8DCAD254D01B4D,D7591212560,C00794370,"Clark, Joshua Stephen",500.0,2022-05-12
ADAA10BA50F2C40FFAEE,D4171219855,C00794370,"Clark, Joshua Stephen",500.0,2022-05-12
AAA5B25585F4948CC855,D7591212560,C00794370,"Clark, Joshua Stephen",250.0,2022-05-12
SA11AI.4122,D6102213245,C00784611,"Craig, Jared B Esq",300.0,2021-09-14
SA11AI.4118,D7080331750,C00784611,"Craig, Jared B Esq",500.0,2021-09-03
SA11AI.4125,D7603882739,C00784611,"Craig, Jared B Esq",3000.0,2021-07-30
SA11AI.4124,D7603882739,C00784611,"Craig, Jared B Esq",2000.0,2021-07-15
AF007BFC355D54441AF2,D7109333827,C00384693,"Isakson, John Hardy",17000.0,2022-12-30
A358B46F20DD940B3AF8,D3372144715,C00384693,"Isakson, John Hardy",276.84,2021-07-15
A-21309,D9127850831,C00726075,"Johnson-Shealey, Tamara",1611.16,2022-08-01
A-21280,D4695621644,C00726075,"Johnson-Shealey, Tamara",11459.4,2022-06-10
A-20862,D2685286806,C00726075,"Johnson-Shealey, Tamara",250.0,2022-05-04
A-20837,D6275716538,C00726075,"Johnson-Shealey, Tamara",300.0,2022-04-16
A-20756,D2307248179,C00726075,"Johnson-Shealey, Tamara",250.0,2022-03-29
A-20584,D4055585844,C00726075,"Johnson-Shealey, Tamara",1000.0,2022-03-22
A-20582,D3427632315,C00726075,"Johnson-Shealey, Tamara",500.0,2022-03-21
A-20268,D1070907075,C00726075,"Johnson-Shealey, Tamara",250.0,2022-03-10
A-20614,D6112053327,C00726075,"Johnson-Shealey, Tamara",500.0,2022-03-10
A-20755,D4695621644,C00726075,"Johnson-Shealey, Tamara",3700.0,2022-03-08
A-20238,D6570845917,C00726075,"Johnson-Shealey, Tamara",1000.0,2022-02-28
A-20176,D2168505197,C00726075,"Johnson-Shealey, Tamara",500.0,2022-01-22
A-20175,D8955290410,C00726075,"Johnson-Shealey, Tamara",500.0,2022-01-20
A-20391,D3666247872,C00726075,"Johnson-Shealey, Tamara",250.0,2022-01-17
A-20160,D7295247039,C00726075,"Johnson-Shealey, Tamara",300.0,2022-01-14
A-20154,D3339142836,C00726075,"Johnson-Shealey, Tamara",480.0,2022-01-11
A-19954,D8955290410,C00726075,"Johnson-Shealey, Tamara",250.0,2022-01-05
A-20038,D7149150429,C00726075,"Johnson-Shealey, Tamara",250.0,2021-12-09
