donor_id,segment
D3863182889,Real Estate
D6041164461,Retired / Not Employed
D5797344265,Retired / Not Employed
D3315064080,Retired / Not Employed
D5420692738,Retired / Not Employed
D3934674358,Retired / Not Employed
D6686409971,Retired / Not Employed
D3690284261,Finance & Investment
D7200152810,Retired / Not Employed
D7650266054,Business & Executive
D3414186297,Retired / Not Employed
D1625387665,Business & Executive
D6831374800,Retired / Not Employed
D6631125324,Retired / Not Employed
D3534319288,Retired / Not Employed
D1020713120,Retired / Not Employed
D4333489816,Other
D5705483861,Other
D5515840682,Other
D4304812976,Other
D2106511856,Business & Executive
D2350086862,Business & Executive
D4319831062,Finance & Investment
D5810217473,Finance & Investment
D4200997819,Retired / Not Employed
D5397009228,Finance & Investment
D8145135462,Retired / Not Employed
D6149146831,Other
D2455519600,Retired / Not Employed
D9479565051,Energy
D5556560699,Retired / Not Employed
D2228238796,Legal
D7610178006,Retired / Not Employed
D4450750744,Technology
D5703115549,Finance & Investment
D1680098436,Business & Executive
D8793254692,Healthcare
D6226981106,Energy
D1182359488,Retired / Not Employed
D8032256199,Retired / Not Employed
D5277788619,Finance & Investment
D5607928542,Energy
D2834528612,Business & Executive
D4529529240,Retired / Not Employed
D6464643103,Retired / Not Employed
D1948615553,Nonprofit & Advocacy
D1061373259,Business & Executive
D1052719557,Retired / Not Employed
D8037181232,Retired / Not Employed
D2829974974,Finance & Investment
D4854880798,Finance & Investment
D5071396611,Retired / Not Employed
D1808487138,Retired / Not Employed
D8385780152,Retired / Not Employed
D7392753409,Retired / Not Employed
D6556276442,Other
D6705731424,Finance & Investment
D8111374590,Other
D5532649946,Retired / Not Employed
D6908217193,Other
D3571683231,Other
D3878572561,Retired / Not Employed
D2356443771,Business & Executive
D6967574439,Business & Executive
D3943930303,Other
D6532972971,Other
D1295766937,Other
D1387929354,Other
D1693523033,Other
D6502213419,Other
D1285128906,Education
D3791478276,Other
D4908995659,Other
D5073136831,Other
D1865631163,Retired / Not Employed
D7571314416,Other
D4942051587,Healthcare
D8893295734,Legal
D9854911955,Retired / Not Employed
D3174158979,Retired / Not Employed
D6763325035,Business & Executive
D5385968205,Retired / Not Employed
D2573477882,Retired / Not Employed
D6554103912,Other
D4874010759,Other
D1116356585,Other
D8107617349,Other
D5090136415,Other
D1536994965,Other
D6887369224,Other
D8875186416,Other
D6964737118,Other
D2064348759,Other
D7394444904,Other
D6322129518,Other
